year,per capita income
1970,3391
1971,3762
1972,4253
1973,4804
1974,5575
1975,5996
1976,7067
1977,7108
1978,7249
1979,7601
1980,8351
1981,9432
1982,9613
1983,10414
1984,10795
1985,11016
1986,11487
1987,12978
1988,15089
1989,16429
1990,16831
1991,17262
1992,16413
1993,15874
1994,15755
1995,16366
1996,16697
1997,17318
1998,16629
1999,17580
2000,18981
2001,18602
2002,19233
2003,22734
2004,25715
2005,29196
2006,32737
2007,36148
2008,37449
2009,32751
2010,38422
2011,42334
2012,42661
2013,42672
2014,41033
2015,35174
2016,34225
2017,34829
2018,35521
2019,36222
2020,37225
2021,38223
2022,39224
